task	episode	slot
handover_bottle	episode0	1
handover_bottle	episode1	2
handover_bottle	episode2	3
handover_bottle	episode4	4
handover_bottle	episode5	5
pick_diverse_bottles	episode1	1
pick_diverse_bottles	episode2	2
pick_diverse_bottles	episode3	3
pick_diverse_bottles	episode4	4
pick_diverse_bottles	episode5	5
place_bread_basket	episode0	1
place_bread_basket	episode1	2
place_bread_basket	episode2	3
place_bread_basket	episode4	4
place_bread_basket	episode5	5
pnp_bread	episode0	1
pnp_bread	episode1	2
pnp_bread	episode2	3
pnp_bread	episode3	4
pnp_bread	episode4	5
pnp_tray	episode0	1
pnp_tray	episode3	2
pnp_tray	episode4	3
pnp_tray	episode6	4
pnp_tray	episode7	5
stack_cups	episode1	1
stack_cups	episode2	2
stack_cups	episode4	3
stack_cups	episode5	4
stack_cups	episode6	5
